name,num
b'Alonso',11
b'Doherty',8
b'Salah',8
b'van Dijk',6
b'Sigurdsson',6
b'Pogba',5
b'Jimnez',5
b'Robertson',4
b'Felipe Anderson',4
b'Etheridge',4
b'Fraser',4
b'Hazard',4
b'Kane',4
b'Firmino',4
b'Schmeichel',4
b'Son',3
b'Wan-Bissaka',3
b'Richarlison',3
b'Wilson',3
b'Ederson',3
b'Ryan',3
b'Lloris',3
b'Steve Cook',3
b'Aubameyang',3
b'Pereira',3
b'Fabianski',3
b'Lascelles',3
b'Kant',3
b'Zaha',3
b'Bellern',3
b'Man',3
b'Agero',3
b'Speroni',3
b'Davies',3
b'Patrcio',2
b'Laporte',2
b'Barnes',2
b'Rashford',2
b'Rondn',2
b'Moutinho',2
b'King',2
b'Holebas',2
b'Maguire',2
b'Murray',2
b'Vardy',2
b'Willian',2
b'Prez',2
b'Pickford',2
b'Arnautovic',2
b'Pereyra',2
b'Walker',2
b'Lacazette',2
b'Smalling',2
b'Albrighton',2
b'De Gea',2
b'Moses',2
b'Fernandinho',2
b'Giroud',2
b'Chilwell',2
b'David Silva',2
b'Digne',1
b'Camarasa',1
b'Stones',1
b'Calvert-Lewin',1
b'Alexander-Arnold',1
b'Cathcart',1
b'March',1
b'Capoue',1
b'Forster',1
b'Jorginho',1
b'Hjbjerg',1
b'Stekelenburg',1
b'Stankovic',1
b'Monreal',1
b'Azpilicueta',1
b'Mata',1
b'Sterling',1
b'Alli',1
b'Lovren',1
b'Izquierdo',1
b'Emerson',1
b'Kolasinac',1
b'Surman',1
b'Begovic',1
b'Milner',1
b'Pedro',1
b'Foster',1
b'Mendy',1
b'Duffy',1
b'Mitrovic',1
b'Kayal',1
b'Mee',1
b'Walcott',1
b'Deeney',1
b'Boly',1
b'Wijnaldum',1
b'David Luiz',1
b'Bennett',1
b'Hayden',1
b'Quaner',1
b'Mustafi',1
b'Mahrez',1
b'Gro',1
b'Xhaka',1
b'Depoitre',1
b'Schelotto',1
b'Otamendi',1
b'Bruno',1
b'Mkhitaryan',1
b'Paterson',1
b'Barkley',1
b'Jesus',1
b'Lingard',1
b'De Bruyne',1
b'Wilshere',1
b'Sturridge',1
b'Cech',1
b'Lichtsteiner',1
b'San',1
b'Gray',1
b'Antonio',1
b'Locadia',1
b'Lucas Moura',1
b'Clark',1
b'Jones',1
b'Eriksen',1
b'Cork',1
b'Ritchie',1
b'McCarthy',1
b'Gudmundsson',1
b'Alisson',1
b'van Aanholt',1
b'Bamba',1
b'Ecuele Manga',1
b'Lukaku',1
b'Foyth',1
b'Vertonghen',1
b'Schlupp',1
b'Iwobi',1
b'Milivojevic',1
